데이,표제어,예문,동의어1,동의어2,동의어3,동의어4,동의어5
1,abhor,Most feminists abhor the thought of a woman being judged on her physical appearance.,abominate,detest,hate,loathe,
1,illicit,The police are trying to stop the illicit sale of drugs.,illegal,illegitimate,unlawful,,
1,plausible,"His car broke down, so he has a plausible explanation as to why he is late.",acceptable,believable,reasonable,,
1,differ,French differs from English in many respects.,vary,,,,
1,differ,I differed from him in the solution he offered.,disagree,,,,
1,shallow,"At the meeting, the discussion remained at a shallow level.",superficial,surface,,,
1,pact,The United States and Canada have signed a free-trade pact,agreement,compact,contract,deal,treaty
1,adequete,One of Africa’s greatest problem is providing adequate water to meet the needs of its expanding population.,enough,sufficient,,,
1,zeal,They put their zeal in whatever they want to do.,ardor,enthusiasm,fervor,passion,zest
1,tacit,Since mother offered no objections. I felt that we had her tacit consent to go ahead with our plans for a winter trip to Australia.,implicit,unspoken,,,
1,settle,She settled in Vienna after her father’s death.,fixate,root,,,
1,macabre,"Alfred Hitchcock’s macabre masterpiece, Psycho, broke all of the existing rules for horror films and film-makers.",grisly,gruesome,horrible,,
1,hail,The unanimous ruling was hailed by civil libertarians as a signal moment in the struggle for free speech.,greet,salute,welcome,,
1,hail,He's been hailed as the greatest artist this century.,describe,,,,
1,ominous,Thirteen is an ominous number in western culture.,inauspicious,portentous,sinister,,
1,churlish,"Kids today are rude, surly and churlish.",boorish,crude,impolite,rude,
1,react,Oxygen and iron react together to form rust.,reply,respond,,,
1,similarity,There is a wonderful similarity between twins.,likeness,resemblance,,,
1,imminent,The darkening sky indicated to all of us that a thunderstorm was imminent.,forthcoming,impending,,,
1,memoirs,The posthumous publication of the actor’s memoirs aroused a lot of interest.,autobiography,reminiscences,,,
1,wander,It seemed queer for her to wander around all night.,roam,rove,saunter,,
1,pecuniary,His only interest was pecuniary advantage.,financial,monetary,,,
1,sacred,The sun was held sacred in ancient times.,divine,hallowed,holy,,
1,quile,The president will need to use all her political guile to stay in power.,deceit,trickery,,,
1,famous,Switzerland is famous for its mountains,noted,renowned,well-known,,
1,famous,Britney Spears dazzled the audience in a famous performance.,excellent,first-rate,,,
1,calamity,That age will be one of scarcity and environmental calamity unless governments push cleaner sources of energy.,catastrophe,disaster,misfortune,,
1,insist,I didn’t really want to go but he insisted.,hold,persist,stick,,
1,insist,He insists that he saw a UFO.,assert,claim,,,
1,dogmatic,Foreigners who have talked to Kim Jongil describe him as a more dogmatic Marxist than his father.,arbitrary,opinionated,,,
1,exceed,U.S. exports exceeded imports by $2 billion in October.,excel,,,,
1,amenable,Gallup polling in India reveals Indians are more amenable than hostile to closer ties with China.,docile,obedient,receptive,responsive,
1,homely,She tought she was too homely to get a date.,plain,ugly,unattractive,,
1,commit,There are 12.000 suicides. half of which are committed with firearms.,perpetrate,,,,
1,commit,Our company is committed to providing customers with top quality services.,dedicate,devote,,,
1,bogus,The systems requires netizens to reveal their real names instead of using bogus identities in all website postings.,counterfeit,fake,spurious,,
1,transcribe,This novel has been transcribed into braille for the blind.,interpret,translate,,,
1,lawsuit,"The lawsuit cost him an arm and a leg, but he won.",action,case,litigation,suit,
1,deadlock,The negotiations between the labor union and the management are in a deadlock.,impasse,stalemate,standoff,,
1,secede,He has decided to secede from the association.,separate,withdraw,,,
1,elaborate,The elaborate bridal costumes of the Indians are handed down from mother to daughter.,delicate,exquisite,,,
1,elaborate,"Reading in this manner alerts readers to nuances, to things rendered but not explained or elaborated by the writer.",detail,explain,explicate,expound,
1,vanity,"Pride is an established conviction of one’s own paramount worth in some particular respect, while vanity is the desire of rousing such a conviction in others.",arrogance,conceit,egotism,,
1,minimize,"He always tried to minimize his own faults, while exaggerating those of others.",curtail,reduce,,,
1,minimize,"Although Paul minimizes the importance of training, he does not dismiss it as worthless.",belittle,underrate,underestimate,,
1,crestfallen,The tennis player did not win a game in the final set and looked entirely crestfallen in defeat.,dejected,despondent,dispirited,downcast,
1,fabricate,"We are witnessing the proliferation of fake tweets, which are screen shots of what appear to be tweets but in fact are fabricated.",concoct,invent,,,
1,fabricate,The furniture was fabricated from pieces of old wood.,assemble,build,make,manufacture,
1,attitude,Prepare for the changes with a positive and open attitude.,mind-set,,,,
1,attitude,What is your attitude to the ruling?,idea,opinion,view,,
1,participate,She didn’t participate in the discussion.,partake in,take part in,,,
1,participate,He participated suffering with other people.,share,,,,
1,brutal,The people have been kept down for years by a brutal regime.,atrocious,cruel,ferocious,ruthless,savage
1,admire,I really admire your enthusiasm.,compliment,esteem,resoect,,
1,dialect,The name koala comes from an Australian Aboriginal dialect.,vernacular,,,,
2,yell,"The press photographers started yelling at the television crews to get out of the way, so that they could get a better look.",cry,scream,shout,yelp,
2,laconic,His laconic speech was clear enough to convey his point of view.,brief,compact,concise,terse,
2,narrow,The team scraped a narrow victory last year.,close,tight,,,
2,gracious,She distributed gifts in a bountiful and gracious manner.,elegant,graceful,,,
2,pale,She turned pale at the sight of blood.,ashen,pallid,pasty,wan,white
2,telling,The most telling criticism of this theory comes from the increasing evidence that symptoms of autism are present at birth.,cogent,effective,forceful,,
2,machination,"At his machination accelerated, he dealt his political rivalry a series of blows insidiously and then succeeded in taking the throne, trying to hold it.",conspiracy,intrigue,plot,scheme,
2,dainty,We were given tea and some dainty little cakes.,delectable,delicious,palatable,savory,tasty
2,scold,I was scolded by him because I was showing bad attitude.,chide,rebuke,reprimand,reproach,
2,earnest,"To do him justice, he is earnest, but unfortunately he’s not qualified for the job.",ardent,eager,fervent,sincere,
2,vacillate,He could not decide whether to risk his inheritance by investing in stocks or to play safe by putting it into government bonds. The fluctuation of the stock market made him vacillate between the two plans.,fluctuate,oscillate,waver,,
2,piety,"Known for the piety, she would walk miles to attend communion services in the neighboring villages.",devotion,devoutness,,,
2,climactic,History was reaching its climatic moment and there were signs and wonders to prove it.,culminating,,,,
2,rebellious,I happen to be rebellious in nature and enjoy the challenge of disproving assumptions made about me.,obstinate,recalcitrant,,,
2,hallucination,Hallucinations are a false perception where an individual believes in something that doesn’t exist in reality.,delusion,illusion,phantom,vision,
2,aggravate,Concentration of the population in Seoul is aggravating traffic conditions day after day.,deteriorate,exacerbate,worsen,,
2,aggravate,Never shy away from speaking one’s mind in public for fear of aggravating others or losing popularity.,annoy,bother,exasperate,irritate,provoke
2,intuition,Her intuition tells her that he is telling a lie.,hunch,instinct,,,
2,sagacious,"Rosa’s decision to move the chickens into the barn turned out to be sagacious; about an hour later, the hailstorm hit.",discerning,judicious,wise,,
2,denounce,"In the early 21st century, fundamentalist Christian preachers denounced the Harry Potter series as a work of the devil.",censure,condemn,reproach,,
2,simultaneous,We will have simultaneous labor disputes across the country.,coinciding,concurrent,,,
2,adjustment,I’ve made a few adjustments to the design.,alteration,modification,,,
2,adjustment,He tried to make an adjustment to American culture.,adaptation,,,,
2,bewitch,Marylin Monroe bewitched men around the world with her sex appeal.,captivate,charm,enchant,fascinate,
2,competition,There is now intense competition between schools to attract students.,contest,race,rivalry,,
2,competition,She won first prize in the competition.,contest,,,,
2,competition,We’ll be able to assess the competition at the conference.,competitor,rival,,,
2,dignity,Human beings are born free and equal in dignity and rights.,decorum,grandeur,gravity,,
2,miscellaneous,She keeps all sorts of miscellaneous items in her garage.,diversified,various,,,
2,accidental,That they captured this beautiful moment was completely accidental.,casual,fortuitous,inadvertent,incidental,
2,accidental,"The statement “A puppy is brown,” although it may be true of some, is not true of all puppies; and it describes what is not an essential but merely an accidental property of the defined term.",collateral,incidental,subordinate,,
2,peruse,My father peruses the newspaper as he drinks tea every morning.,read carefully,,,,
2,cache,They found an arms cache of their enemy.,hiding place,,,,
2,abase,I would never do something that would abase myself.,debase,degrade,demean,,
2,efface,The signs of battle here were slowly effaced as peace came about.,erase,expunge,obliterate,,
2,float,"In space, objects float because there is no gravity.",drift,hover,sail,waft,
2,ponderous,Japanese banks need changing from a ponderous Sumo wrestler into a lean and agile Smurai swordsman.,heavy,hefty,massive,,
2,ponderous,The teacher always speaks in a ponderous manner.,dull,prosaic,tedious,,
2,aspiration,"Whatever your aspirations in life, there are not many fields in which people can get by on intellect alone.",craving,desire,longing,yearning,
2,certify,Experts recently examined the postage stamp and certified it as genuine.,confirm,guarantee,verify,,
2,hygienic,Indians believe that eating with a clean hand is much more hygienic than eating with a fork or chopsticks.,sanitary,,,,
2,spank,Spanking the child is only going to result in more provocations.,slap,smack,,,
2,facade,The facade of the building is made of glass.,front,frontage,,,
2,inquire,"Worse still, the pressure to maintain a cheery facade in the workplaces can be stressful and exhausting in itself.",guise,veneer,,,
2,dolorous,We inquired weather conditions of the weather bureau.,ask,query,question,,
2,offense,Rachel is so touched by the dolorous poem that she is crying.,doleful,grievous,sorrowful,,
2,offense,Espionage is a capital offense in this country.,crime,sin,transgression,violation,
2,offense,Don’t be mad about that. No offense.,anger,resentment,,,
2,offense,The most effective defense is offense.,assault,attack,,,
2,embryo,The sex of the embryo is predetermined at fertilization.,fetus,,,,
3,cogent,"When I listened to his cogent arguments, all my doubts were dispelled and I was forced to agree with his point of view.",convincing,persuasive,,,
3,earmark,The waste ground next to the theater has been earmarked for office development.,allocate,assign,,,
3,sack,Her work was so poor that she was given the sack.,discharge,dismiss,fire,,
3,tactile,"The right hemisphere of the brain is specialized for the perception of complex patterns, both visual and tactile.",palpable,tangible,touchable,,
3,jealous,Children often feel jealous when a new baby arrives.,envious,,,,
3,jealous,They are very jealous of their good reputation.,vigilant,,,,
3,abandon,A key to human progress has been the willingness to abandon ideas that are no longer true.,desert,forsake,,,
3,factotum,"Although we had hired him as a messenger, we soon began to use him as a general factotum around the office.",handyman,,,,
3,mediate,He mediated the secret talks between the U.S. and Cuba as an espionage.,arbitrate,intercede,intervene,,
3,wayward,A wayward barge hit a supertanker in December.,disobedient,intractable,unmanageable,unruly,
3,thrift,His habit of thrift has become a part of him.,austerity,economy,frugality,parsimony,prudence
3,effeminate,People thought it effeminate to think of home.,effete,feminine,unmanly,,
3,vane,The vane turns with the wind.,anemoscope,weathercock,,,
3,peep,He peeped into the room through the crack of the door.,look,peek,,,
3,negotiation,"Diplomacy signifies “negotiation,”as when we say “the problem is one which might well be solved by diplomacy.”",bargaining,parley,,,
3,scandalous,People love reading about gossip of the rich and famous; the more scandalous the better.,defamatory,disgraceful,shameful,,
3,hype,People went to see the movie because of all the big media hype.,ballyhoo,,,,
3,perspective,The death of my son gave me a whole new perspective on life.,outlook,position,view,,
3,acerbic,The letter was written in her usual acerbic style.,acrid,bitter,pungent,scathing,sharp
3,cease,The spirit of Confucianism has continued on without ceasing until now.,cessation,halt,,,
3,sect,He belongs to a small sect which abnegates pleasure.,denomination,faction,party,school,wing
3,predicate,His theory predicates the system of the universe.,affirm,assert,aver,declare,state
3,shabby,The shabby neighborhood has changed into a new town.,ragged,scruffy,worn-out,,
3,ennui,Work with the majority is their only refuge from ennui.,boredom,languor,tedium,,
3,boorish,I found him boorish and aggressive.,churlish,coarse,impolite,uncouth,unrefined
3,adversary,"Since the days of Vietnam and Watergate, journalists have become adversaries of the government.",antagonist,competitor,enemy,foe,opponent
3,damp,"After twenty minutes in the dryer, my socks were still damp.",dank,humid,moist,,
3,complain,I’m going to complain to the manager about this problem.,grouse,grumble,,,
3,sinecure,My job is no sinecure; I work long hours and have much responsibility.,easy post,pushover,soft touch,,
3,imperative,"A man becomes more and more a social being, and as the world becomes more and more a social community, communication grows ever more imperative.",essential,urgent,vital,,
3,magnanimous,He assumed a magnanimous attitude toward a conquered enemy.,broad-minded,generous,tolerant,,
3,legerdemain,There is a certain knack or legerdemain in argument.,deception,manipulation,trickery,,
3,solidify,"She won Wimbledon convincingly, solidifying her No.1 ranking.",assure,consolidate,strengthen,,
3,ambivalent,She has an ambivalent attitude towards the guy.,conflicting,equivocal,uncertain,undecided,
3,flagrant,He showed a flagrant disregard for anyone else’s feelings.,blatant,,,,
3,detail,Tell me the main points now; leave the details till later.,nicety,specifics,,,
3,detail,The brochure details all the hotels in the area and their facilities.,elaborate,exposit,expound,,
3,detail,Many police officers were detailed to guard the President.,detach,dispatch,,,
3,poignant,It is poignant that he missed his last chance.,bitter,incisive,pungent,,
3,decadence,The fall of ancient Rome was due to the decadence of the leaders of the society.,corruption,decline,degeneration,deterioration,fall
3,belie,His looks belie his character.,deceive,mislead,misrepresent,disprove,
3,respite,She continued to work without respite.,pause,recess,,,
3,hefty,Her brothers were both hefty men in their forties.,heavy,massive,,,
3,cabal,A cabal of less than a handful of people at party headquarters is trying to overrule the democratic decision-making process.,clique,coterie,faction,ring,
3,inflict,He inflicted a big loss on me.,impose,levy,wreak,,
3,doctrine,Priests are representatives and followers of the doctrines of their religion.,creed,dogma,tenet,,
3,outdistance,"Korean movies took a 60 percent market share, outdistancing foreign films that took a 40percent market share.",beat,outdo,outstrip,surpass,
4,facilitate,The moderator’s role is to facilitate the discussion by asking appropriate questions.,expedite,promote,,,
4,salubrious,People with hay fever move to more salubrious sections during the months of August and September.,healthful,wholesome,,,
4,quack,In Anglo-Saxon days in England there were many quacks.,charlatan,medicaster,impostor,swindler,
4,hackneyed,“Whiter than snow” is an expression that sounds rather hackneyed.,banal,commonplace,stale,trite,worn-out
4,thorough,"After a thorough investigation, the company performed the massive recall.",close,exact,rigorous,,
4,pant,I pant for breath even when climbing up a gentle slope.,gasp,puff,,,
4,veracious,The veracious reporter refused to continue the interview after the candidate would answer only pre-selected questions.,faithful,honest,sincere,truthful,
4,bilateral,The contract was annulled by bilateral agreement.,mutual,reciprocal,,,
4,emaciated,"At a hospital, two brothers lie side by side in a ward filled with emaciated children.",gaunt,haggard,,,
4,mushroom,Factories of this sort mushroomed along the river.,burgeon,flourish,,,
4,penchant,He has a penchant for sports.,disposition,inclination,leaning,liking,
4,scowl,He rarely spoke and always walked around with a scowl on his face.,frown,glare,glower,grimace,
4,ignoble,It is ignoble to cheat on a test.,despicable,mean,,,
4,undo,It is difficult to undo the damage from an initial error.,annul,cancel,reverse,,
4,mellow,His voice was deep and mellow and his speech had a soothing and comforting quality.,dulcet,melodious,tuneful,,
4,sediment,"Since 1830, suspended sediment in the river has risen continuously.",deposition,dregs,,,
4,consecutive,Interest among new college freshmen in pursuing business careers continued to decline for the fourth consecutive year.,straight,successive,uninterrupted,,
4,pitfall,He said there is the potential pitfalls of buying the house.,difficulty,hazard,peril,snag,
4,obdurate,"Given that he came to the mediation with such an obdurate attitude, it is no wonder there was little movement toward any harmonious agreement.",obstinate,stubborn,unyielding,,
4,elevate,The program elevated the awareness and interest of software’s importance.,cheer,exhilarate,uplift,,
4,accountable,I am not accountable for his failure.,liable,responsible,,,
4,shorthand,He took down the speech in shorthand.,stenography,,,,
4,dabble,They dabbled in art.,tinker with,,,,
4,plebeian,His face plainly indicates that he is of plebeian origin.,commoner,,,,
4,nascent,The nascent party was formed by politicians who had left the ruling party.,embryonic,fledgling,incipient,initial,
4,camouflage,The insect’s color provides camouflage from its enemies.,disguise,deceit,deception,,
4,camouflage,"Daniel is five feet five inches tall and inclines toward stoutness, but his erect bearing and quick movements tend to camouflage this.",disguise,conceal,mask,,
4,illuminate,The room was poorly illuminated by one candle.,brighten,irradiate,light,,
4,abnegate,The teacher compelled the students to abnegate their desires to play around.,abstain,forbear,refrain,,
4,foliage,If you listen carefully you can hear the caterpillar eating the foliage.,leaf,leafage,,,
4,corpulent,Mrs. Byron was a short and corpulent person and rolled considerably in her gait.,fat,obese,plump,portly,
4,slacken,Our attention on saving seems to be already slackening though the loud cries for frugality after suffering the foreign exchange crisis are not far off yet.,loosen,relax,,,
4,adolescence,Adolescence is a time when you establish your identity.,juvenescence,puberty,teens,youth,
4,destruction,Destruction of the environment is one of the most serious challenges we face.,ruination,fall,subversion,,
4,destruction,Overconfidence was his destruction.,ruination,,,,
4,agitate,He agitated the mob with extreme nationalism.,disturb,instigate,perturb,provoke,stir up
4,entity,"The true root of violence is human greed, not an external entity.",essence,substance,,,
4,procure,Companies have to procure and cultivate talented personnel.,acquire,gain,get,obtain,
4,discernible,The ships in the harbor were not discernible in the fog.,apparent,obvious,recognizable,,
4,impose,Very high taxes have been imposed on cigarettes.,inflict,levy,,,
4,impose,I don’t want to impose my views on anyone.,compel,enforce,,,
4,spontaneous,The audience burst into spontaneous applause.,impromptu,impulsive,voluntary,willing,
4,anthropomorphic,The world of the ancient Greek gods was anthropomorphic.,anthropoid,humanoid,,,
4,celebrate,"We celebrate Children’s Day, Parent’s Day, and Teacher’s Day in May.",commemorate,observe,,,
4,ramshackle,"Most streets in central London were still narrow and ramshackle, laid out largely as they had been before the fire.",crumbling,dilapidated,tumble-down,,
4,dominion,The King holds dominion over the people of his nation.,authority,command,sovereignty,,
4,lackadaisical,"Regular school teachers have guaranteed jobs, which allow them to be more lackadaisical in their duties.",idle,indolent,lazy,negligent,remiss
4,backbite,"If you have anything to say, say it out to my face instead of backbiting.",defame,malign,slander,traduce,
4,refuse,Under-funded hospitals now refuse treatment to the poor.,decline,reject,spurn,turn down,
5,definite,She made no definite plans for her future.,certain,explicit,specific,,
5,timid,A strict upbringing by over-caring parents can make a child so timid and inhibited.,cowardly,pusillanimous,timorous,,
5,malefactor,Innocent Jews were killed indiscriminately alongside the malefactors.,convict,criminal,evildoer,villain,wrongdoer
5,sapid,This chef has the knack of making most foods more sapid and appealing.,delicious,palatable,savory,tasty,zestful
