데이,표제어,예문,동의어 1,동의어 2,동의어 3,동의어 4,동의어 5
1,innocent,They have imprisoned an innocent man.,blameless,guiltless,,,
1,innocent,We were fooled by his innocent look.,"ingenuous,","naive,",unsophisticated,,
1,hostile,His family seems to have hostile feelings toward me.,antagonistic,,,,
1,glorify,Puritans think writing is a tool that should be used to glorify God.,admire,,,,
1,glorify,He denies that the movie glorifies violence.,praise,,,,
1,deceased,All of the people present at the funeral eulogized the virtue of the deceased.,dead,defunct,departed,late,
1,antithesis,His idea was in complete antithesis to mine.,antipode,contrary,converse,inverse,
1,antithesis,There is an antithesis between the needs of the state and the needs of the people.,contraposition,contrast,opposition,,
1,multiple,Three people died in a multiple pile-up in freezing fog.,a lot of,countless,many,numerous,
1,refund,"If there is a delay of 12 hours or more, you will receive a full refund of the price of your trip.",rebate,,,,
1,dotage,"In his dotage, the old man bored us with long tales of events in his childhood.",anility,decrepitude,senility,,
1,satire,The novel is a biting satire on the political corruption.,parody,mockery,sarcasm,,
1,proficient,"Because he's been practising with rifles since his childhood, he is a proficient shooter.",experienced,expert,skillful,,
1,exert,Some people exert their influence by virtue of their position or title.,exercise,wield,,,
1,artificial,The juice contains no artificial preservatives.,man-made,synthetic,factitious,,
1,whim,He was forced to pander to her every whim.,caprice,vagary,,,
1,formidable,The United States baseball team provided a formidable display of hitting to rout France 17:0.,awesome,fearful,,,
1,formidable,The opponent was formidable but he finally won the game.,tremendous,,,,
1,commerce,"The king encouraged education, publication of books, and commerce.",business,trade,,,
1,drastic,"In most cases, drastic changes always lead to failure.",dramatic,radical,rapid,sharp,
1,drastic,The government is threatening to take drastic action.,dire,extreme,radical,,
1,usurp,He rebelled against his superiors and usurped their authority.,seize,arrogate,,,
1,primitive,A spear is a primitive weapon.,ancient,,,,
1,ramp,A woman rolled her wheelchair up the ramp to the doctor's door.,incline,slope,,,
1,esteem,I esteem him for his diligence.,admire,regard,respect,revere,
1,esteem,The general public seems to hold less esteem for doctors than before.,admiration,appreciation,honor,,
1,beneficial,Renewable energy is beneficial both to the environment and humans' health.,advantageous,profitable,useful,,
1,acknowledge,We acknowledge that this issue is open to dispute.,admit,allow,grant,recognize,
1,outspoken,Everyone was moved by his outspoken speech.,forthright,frank,open,straightforward,
1,virtuoso,It's very common for a talendted pianist to be called a virtuoso.,expert,maestro,master,,
1,laud,The participants lauded the program and gave positive feedback.,commend,compliment,eulogize,extol,
1,tension,There is mounting tension along the border.,anxiety,strain,,,
1,squalid,"Even though a person from Department of Sanitation pointed out that his shop is very squalid, he doesn't seem to correct it.",filthy,sordid,,,
1,rigid,There is a very rigid hierarchy in the company.,inflexible,rigorous,strict,stringent,
1,rigid,The bodies fo animals become rigid after death.,inelastic,inflexible,stiff,,
1,entrepreneur,"In order to start any buriness, an entrepreneur needs money or capital.",enterpriser,industrialist,,,
1,approximately,Approximately 350 jellyfish pecies are known to the world.,circa,nearly,roughly,,
1,signify,he nodded to signify that he agreed.,mean,,,,
1,cohort,A cohort in the business school consists of 70 students with the exact same classes and schedules.,associate,companion,comrade,supporter,
1,illustrate,This latest conflict further illustrates the weakness of the UN.,demonstrate,exemplify,explain,,
1,verdant,"When the trees are still verdant, Anton Chekhov's summer house is worth visiting.",green,leafy,lush,,
1,check,The government is determined to check the growth of public spending.,constraint,control,restraint,,
1,check,"Given our own exposure to war threats from North Korea, we need to check our own emergency preparedness.",examination,inspection,investigation,,
1,prescribe,The law prescribes what should be done and the penalties for neglect.,dictate,ordain,order,,
1,mimesis,He sharpened up his artistic skills through the process of mimesis.,imitation,mimicry,,,
1,fix,Neew products come with warranties and this ensures that you can always get the product fixed for free.,mend,repair,,,
1,subdue,Troops were called in to subdue the rebels.,control,defeat,,,
1,subdue,Julia had to subdue an urge to stroke his hair,moderate,restrain,suppress,temper,
1,crafty,The criminal was crafty and hid his crimes well.,cunning,devious,sly,wily,
1,buttress,The sharp increase in crime seems to buttress the argument for more officers on the street.,bolster,brace,support,sustain,underpin
1,buttress,China has been a reliable buttress for North Korea for decades.,prop,shore,strut,support,
1,quirk,Psychologists regarded the quirks of genius as too erratic to describe intelligibly.,eccentricity,peculiarity,,,
1,parallel,The road runs parallel to the railroad tracks.,aligned,alongside,,,
1,irksome,"If you think this job is irksome, wait until we show you the next one.",annoying,irritating,tedious,,
1,skull,The skull protects the brain like a natural helmet.,cranium,,,,
1,disprove,New evidence discovered by him disproved the previosu allegations.,rebut,refute,,,
2,elementary,He didn't know elementary mathematical formulas.,basic,primary,rudimentary,fundamental,
2,dogma,"My dogma concerning education is very simple: If it works, use it; if it doesn't, change it.",creed,doctrine,principle,tenet,
2,modify,I'd like to modify the terms and conditions of the contract.,alter,change,,,
2,stationary,The rate at which the air moves past a stationary object is how wind speed is calculated.,fixed,motionless,static,,
2,altruistic,Kids who do not have siblings are usually not altruistic.,considerate,self-sacrificing,unselfish,,
2,rapture,He was in rapture after passing the test.,ecstasy,euphoria,exaltation,,
2,deprive,Tortyre is a savage crime that deprives the victim of his dignity.,dispossess,divest,rob,strip,
2,impasse,"The two countries tried to divide the land equally, but reached an impasse.",deadlock,dilemma,stalemate,stand-off,standstill
